TimeStamp,RAW
2021-11-05T14:02:41.6482000Z,T|119777||151.71|100||1636120961.6482|||||||||
2021-11-05T14:02:41.6482000Z,T|119779||151.72|100||1636120961.6482|||||||||
2021-11-05T14:02:41.6482000Z,T|119781||151.72|400||1636120961.6482|||||||||
2021-11-05T14:02:41.6482000Z,T|119796||151.73|322||1636120961.6482|||||||||
2021-11-05T14:02:41.6482000Z,T|119801||151.73|45||1636120961.6482|||||||||
2021-11-05T14:02:41.6482000Z,T|119805||151.73|100||1636120961.6482|||||||||
2021-11-05T14:02:41.7535000Z,T|119831||151.7|100||1636120961.7535|||||||||
2021-11-05T14:02:43.3642000Z,T|119918||151.72|41||1636120963.3642|||||||||
2021-11-05T14:02:43.3642000Z,T|119920||151.72|47||1636120963.3642|||||||||
2021-11-05T14:02:43.3642000Z,T|119923||151.72|12||1636120963.3642|||||||||
2021-11-05T14:02:44.0053000Z,T|119967||151.71|100||1636120964.0053|||||||||
2021-11-05T14:02:44.0053000Z,T|119969||151.71|100||1636120964.0053|||||||||
2021-11-05T14:02:44.2085000Z,T|120009||151.7|75||1636120964.2085|||||||||
2021-11-05T14:02:45.0412000Z,T|120052||151.71|23||1636120965.0412|||||||||
2021-11-05T14:02:45.0412000Z,T|120054||151.71|17||1636120965.0412|||||||||
2021-11-05T14:02:45.7839000Z,T|120092||151.7|100||1636120965.7839|||||||||
2021-11-05T14:02:45.7839000Z,T|120094||151.7|100||1636120965.7839|||||||||
2021-11-05T14:02:45.7839000Z,T|120096||151.7|298||1636120965.7839|||||||||
2021-11-05T14:02:46.0638000Z,T|120123||151.7|100||1636120966.0638|||||||||
2021-11-05T14:02:48.6324000Z,T|120253||151.7|100||1636120968.6324|||||||||
2021-11-05T14:02:49.5416000Z,T|120298||151.7|77||1636120969.5416|||||||||
2021-11-05T14:02:49.6273000Z,T|120305||151.7|100||1636120969.6273|||||||||
2021-11-05T14:02:49.6273000Z,T|120306||151.7|195||1636120969.6273|||||||||
2021-11-05T14:02:55.7907000Z,T|120513||151.7|149||1636120975.7907|||||||||
2021-11-05T14:02:55.7907000Z,T|120515||151.7|51||1636120975.7907|||||||||
2021-11-05T14:02:59.4240000Z,T|120606||151.69|100||1636120979.424|||||||||
2021-11-05T14:02:59.9580000Z,T|120650||151.71|100||1636120979.958|||||||||
2021-11-05T14:02:59.9580000Z,T|120659||151.71|22||1636120979.958|||||||||
2021-11-05T14:02:59.9580000Z,T|120661||151.71|58||1636120979.958|||||||||
2021-11-05T14:03:01.3123000Z,T|120732||151.72|100||1636120981.3123|||||||||
2021-11-05T14:03:01.3123000Z,T|120733||151.72|84||1636120981.3123|||||||||
2021-11-05T14:03:01.9920000Z,T|120788||151.74|1||1636120981.992|||||||||
2021-11-05T14:03:01.9920000Z,T|120790||151.74|100||1636120981.992|||||||||
2021-11-05T14:03:01.9920000Z,T|120792||151.74|99||1636120981.992|||||||||
2021-11-05T14:03:01.9920000Z,T|120798||151.74|1||1636120981.992|||||||||
2021-11-05T14:03:02.0392000Z,T|120825||151.75|100||1636120982.0392|||||||||
2021-11-05T14:03:02.0443000Z,T|120859||151.75|100||1636120982.0443|||||||||
2021-11-05T14:03:02.0443000Z,T|120861||151.75|100||1636120982.0443|||||||||
2021-11-05T14:03:02.4816000Z,T|120891||151.75|62||1636120982.4816|||||||||
2021-11-05T14:03:04.5281000Z,T|120991||151.76|100||1636120984.5281|||||||||
2021-11-05T14:03:04.5281000Z,T|120996||151.76|56||1636120984.5281|||||||||
2021-11-05T14:03:04.5281000Z,T|120998||151.76|100||1636120984.5281|||||||||
2021-11-05T14:03:04.5281000Z,T|121001||151.76|44||1636120984.5281|||||||||
2021-11-05T14:03:04.5612000Z,T|121020||151.76|50||1636120984.5612|||||||||
2021-11-05T14:03:04.5612000Z,T|121022||151.76|50||1636120984.5612|||||||||
2021-11-05T14:03:04.6793000Z,T|121035||151.75|6||1636120984.6793|||||||||
