time_stamp,seconds,nanos,bid_size,bid_price,ask_price,ask_size,trade_price,trade_size,not_shown_book_ticks_before
2022-01-14 14:55:14.8231,1642172114,823100000,,,,,173.17,95,
2022-01-14 14:55:14.8231,1642172114,823100000,132,173.16,173.19,300,,,4
2022-01-14 14:55:14.8231,1642172114,823100000,,,,,173.16,68,
2022-01-14 14:55:14.8231,1642172114,823100000,104,173.15,173.18,500,,,8
2022-01-14 14:55:14.8231,1642172114,823100000,,,,,173.17,100,
2022-01-14 14:55:14.8231,1642172114,823100000,4,173.15,173.18,600,,,3
2022-01-14 14:55:14.8231,1642172114,823100000,,,,,173.16,100,
2022-01-14 14:55:14.8665,1642172114,866500000,88,173.16,173.17,100,,,16
2022-01-14 14:55:14.8665,1642172114,866500000,,,,,173.16,9,
2022-01-14 14:55:14.8665,1642172114,866500000,104,173.15,173.17,100,,,1
2022-01-14 14:55:14.8665,1642172114,866500000,,,,,173.16,84,
2022-01-14 14:55:14.8787,1642172114,878700000,304,173.14,173.16,200,,,22
2022-01-14 14:55:14.8787,1642172114,878700000,,,,,173.15,4,
2022-01-14 14:55:14.8787,1642172114,878700000,166,173.14,173.16,247,,,15
2022-01-14 14:55:14.8787,1642172114,878700000,,,,,173.15,100,
2022-01-14 14:55:15.1333,1642172115,133300000,204,173.14,173.16,200,,,83
2022-01-14 14:55:15.1333,1642172115,133300000,,,,,173.16,100,
2022-01-14 14:55:15.1333,1642172115,133300000,204,173.14,173.17,312,,,1
2022-01-14 14:55:15.1333,1642172115,133300000,,,,,173.16,200,
2022-01-14 14:55:15.373,1642172115,373000000,204,173.14,173.15,87,,,38
2022-01-14 14:55:15.373,1642172115,373000000,,,,,173.15,13,
2022-01-14 14:55:15.4953,1642172115,495300000,200,173.14,173.16,216,,,18
2022-01-14 14:55:15.4953,1642172115,495300000,,,,,173.15,87,
2022-01-14 14:55:15.765,1642172115,765000000,99,173.17,173.18,216,,,82
2022-01-14 14:55:15.765,1642172115,765000000,,,,,173.17,1,
2022-01-14 14:55:15.765,1642172115,765000000,200,173.16,173.18,300,,,2
2022-01-14 14:55:15.765,1642172115,765000000,,,,,173.17,99,
2022-01-14 14:55:15.8057,1642172115,805700000,93,173.15,173.17,400,,,24
2022-01-14 14:55:15.8057,1642172115,805700000,,,,,173.15,7,
2022-01-14 14:55:17.1613,1642172117,161300000,100,173.13,173.15,400,,,213
2022-01-14 14:55:17.1613,1642172117,161300000,,,,,173.14,10,
2022-01-14 14:55:18.2846,1642172118,284600000,300,173.14,173.16,216,,,197
2022-01-14 14:55:18.2846,1642172118,284600000,,,,,173.15,10,
2022-01-14 14:55:18.6031,1642172118,603100000,232,173.16,173.18,116,,,53
2022-01-14 14:55:18.6031,1642172118,603100000,,,,,173.16,68,
2022-01-14 14:55:18.6174,1642172118,617400000,100,173.17,173.18,16,,,22
2022-01-14 14:55:18.6174,1642172118,617400000,,,,,173.17,100,
2022-01-14 14:55:18.6174,1642172118,617400000,300,173.16,173.18,16,,,1
2022-01-14 14:55:18.6174,1642172118,617400000,,,,,173.17,100,
2022-01-14 14:55:18.6534,1642172118,653400000,200,173.16,173.18,116,,,10
2022-01-14 14:55:18.6534,1642172118,653400000,,,,,173.17,100,
2022-01-14 14:55:19.241,1642172119,241000000,300,173.15,173.18,216,,,117
2022-01-14 14:55:19.241,1642172119,241000000,,,,,173.17,69,
2022-01-14 14:55:19.2748,1642172119,274800000,7,173.17,173.18,116,,,7
2022-01-14 14:55:19.2748,1642172119,274800000,,,,,173.17,24,
