Name,Ticker,Exchange,Primary,Country,Currency
Syntax Stratified US Total Market Etf,SYUS,BATS,XNYS,US,USD
Vanguard Municipal Bond Fd Inc Tax-Exempt Bond Index Fund Etf,VTEB,BATS,XNYS,US,USD
Vanguard World Fds Vanguard Utilities Etf,VPU,BATS,XNYS,US,USD
Spdr Series Trust Spdr S TrSP Transn Etf,XTN,BATS,XNYS,US,USD
Invesco Actively Managed Etf Trust Active U S Real Estate Fd,PSR,BATS,XNYS,US,USD
Alps Etf Trust Alerian Energy Infrastructure Etf,ENFR,BATS,XNYS,US,USD
Etf Series Solutions Us Global Jets Etf,JETS,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr SP 500 Eql Wgt Utils Etf,RYU,BATS,XNYS,US,USD
Pimco Etf Trust 0-5 Yr High Yld Corp Bd Idx Etf,HYS,BATS,XNYS,US,USD
Etfmg 2X Daily Alternative Harvest Etf,MJXL,BATS,XNYS,US,USD
Indexiq Etf Trust Iq Hedge Macro Tracker Etf,MCRO,BATS,XNYS,US,USD
Ssga Active Etf Tr Income Allocation Etf,INKM,BATS,XNYS,US,USD
Pgim Active Aggregate Bond Etf,PAB,BATS,XNYS,US,USD
Ishares Trust Currency Hedged Msci Acwi E,HAWX,BATS,XNYS,US,USD
Ishares Trust Msci Utd Kingdom Etf New,EWU,BATS,XNYS,US,USD
Ishares Trust Agency Bd Etf,AGZ,BATS,XNYS,US,USD
Xtrackers Msci Germany Hedged Equity Etf,DBGR,BATS,XNYS,US,USD
Smartetfs Advertising Marketing Technology Etf,MRAD,BATS,XNYS,US,USD
Xtrackers Municipal Infrastructure Revenue Bond Etf,RVNU,BATS,XNYS,US,USD
Ishares Msci Intl Small-Cap Multifactor Etf,ISCF,BATS,XNYS,US,USD
Ishares Trust Core SP Total U S Stk Mkt Etf,ITOT,BATS,XNYS,US,USD
Innovator International Developed Power Buffer Etf - July,IJUL,BATS,XNYS,US,USD
Amplify Thematic All-Stars Etf,MVPS,BATS,XNYS,US,USD
Fidelity Small-Mid Multifactor Etf,FSMD,BATS,XNYS,US,USD
Etracs Quarterly Pay 15X Leveraged Alerian Mlp Index Etn,MLPR,BATS,XNYS,US,USD
Ishares Inc Msci Canada Etf,EWC,BATS,XNYS,US,USD
Invesco Exchange Trd Self Idx Fd Tr Investment Grade Value Etf,IIGV,BATS,XNYS,US,USD
Proshares Trust Pshs Ultra Dow30,DDM,BATS,XNYS,US,USD
Kraneshares Global Carbon Offset Strategy Etf,KSET,BATS,XNYS,US,USD
Direxion Daily Fintech Bull 2X Shares,FNTC,BATS,XNYS,US,USD
Proshares Trust Ultra Consumer Services,UCC,BATS,XNYS,US,USD
Nationwide SP 500 Risk Managed Income Etf,NSPI,BATS,XNYS,US,USD
Spdr Ice Preferred Securities Etf,PSK,BATS,XNYS,US,USD
Putnam Sustainable Leaders Etf,PLDR,BATS,XNYS,US,USD
Proshares Trust Ultrashort Utils Etf New Post Rev Splt,SDP,BATS,XNYS,US,USD
Ishares Us Etf Trust Int Rate Hdgd High Yield Bd,HYGH,BATS,XNYS,US,USD
Sp Funds SP 500 Sharia Industry Exclusions Etf,SPUS,BATS,XNYS,US,USD
Lattice Strategies Tr Hartford Multifactor Developed Markt Etf,RODM,BATS,XNYS,US,USD
Principal Exchange-Traded Fds Principal Invt Grade Corp Active Etf,IG,BATS,XNYS,US,USD
Pimco Etf Trust Intermediate Municipal Bond Etf,MUNI,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr SP 500 Top 50 Etf,XLG,BATS,XNYS,US,USD
